current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
38,42,284415,Yago Santiago,Yago,de Santiago Alonso,21,2003-04-15,Vigo,Spain,Spain,180 cm,,false,https://media.api-sports.io/football/players/284415.png
38,42,293163,J. Donley,Jamie,Donley,19,2005-01-03,,Northern Ireland,England,,,false,https://media.api-sports.io/football/players/293163.png
38,42,310531,R. Kyerematen,Rio,Kyerematen,19,2005-06-09,,England,England,,,false,https://media.api-sports.io/football/players/310531.png
38,42,311344,A. Véliz,Alejo,Véliz,21,2003-09-19,Santa Fe,Argentina,Argentina,186 cm,77 kg,false,https://media.api-sports.io/football/players/311344.png
38,42,328089,A. Gray,Archie James Francis,Gray,18,2006-03-12,,England,England,,,false,https://media.api-sports.io/football/players/328089.png
38,42,337929,G. Abbott,George Benedict,Abbott,19,2005-08-17,,England,England,,,false,https://media.api-sports.io/football/players/337929.png
38,42,347316,L. Bergvall,Lucas Erik Holger,Bergvall,18,2006-02-02,Stockholm,Sweden,Sweden,187 cm,,false,https://media.api-sports.io/football/players/347316.png
38,42,349384,T. Hall,Tyrese,Hall,19,2005-09-04,,England,England,,,false,https://media.api-sports.io/football/players/349384.png
38,42,361736,L. Black,Leo,Black,18,2006-02-09,,England,England,,,false,https://media.api-sports.io/football/players/361736.png
38,42,380690,M. Moore,Mikey Steven Danny,Moore,17,2007-08-11,,England,England,,,false,https://media.api-sports.io/football/players/380690.png
39,42,161,A. Whiteman,Alfie Malik,Whiteman,26,1998-10-02,,England,England,189 cm,84 kg,false,https://media.api-sports.io/football/players/161.png
39,42,164,B. Davies,Benjamin Thomas,Davies,31,1993-04-24,Neath,Wales,Wales,181 cm,77 kg,false,https://media.api-sports.io/football/players/164.png
39,42,180,O. Skipp,Oliver William,Skipp,24,2000-09-16,,England,England,175 cm,70 kg,false,https://media.api-sports.io/football/players/180.png
39,42,863,R. Bentancur,Rodrigo,Bentancur Colmán,27,1997-06-25,Nueva Helvecia,Uruguay,Uruguay,187 cm,72 kg,false,https://media.api-sports.io/football/players/863.png
39,42,1566,Emerson Royal,Emerson Aparecido,Leite de Souza Júnior,25,1999-01-14,São Paulo,Brazil,Brazil,181 cm,79 kg,false,https://media.api-sports.io/football/players/1566.png
39,42,1578,G. Lo Celso,Giovani,Lo Celso,28,1996-04-09,Rosario,Argentina,Argentina,177 cm,68 kg,false,https://media.api-sports.io/football/players/1578.png
39,42,2735,P. Højbjerg,Pierre-Emile Kordt,Højbjerg,29,1995-08-05,København,Denmark,Denmark,185 cm,84 kg,false,https://media.api-sports.io/football/players/2735.png
39,42,18784,J. Maddison,James Daniel,Maddison,28,1996-11-23,Coventry,England,England,175 cm,73 kg,false,https://media.api-sports.io/football/players/18784.png
39,42,18968,Y. Bissouma,Yves,Bissouma,28,1996-08-30,Issia,Côte d'Ivoire,Mali,182 cm,80 kg,false,https://media.api-sports.io/football/players/18968.png
39,42,19235,D. Spence,Diop Tehuti,Djed-Hotep Spence,24,2000-08-09,,England,England,185 cm,,false,https://media.api-sports.io/football/players/19235.png
39,42,30776,C. Romero,Cristian Gabriel,Romero,26,1998-04-27,Córdoba,Argentina,Argentina,185 cm,78 kg,false,https://media.api-sports.io/football/players/30776.png
39,42,47519,Pedro Porro,Pedro Antonio,Porro Sauceda,25,1999-09-13,Don Benito,Spain,Spain,173 cm,69 kg,false,https://media.api-sports.io/football/players/47519.png
39,42,152849,M. van de Ven,Micky,van de Ven,23,2001-04-19,Wormer,Netherlands,Netherlands,193 cm,81 kg,false,https://media.api-sports.io/football/players/152849.png
39,42,156428,B. Austin,Brandon Anthony,Austin,25,1999-01-08,,England,England,188 cm,82 kg,false,https://media.api-sports.io/football/players/156428.png
39,42,162498,R. Drăgușin,Radu Matei,Drăgușin,22,2002-02-03,București,Romania,Romania,191 cm,85 kg,false,https://media.api-sports.io/football/players/162498.png
39,42,204039,D. Udogie,Iyenoma Destiny,Udogie,22,2002-11-28,Verona,Italy,Italy,186 cm,73 kg,false,https://media.api-sports.io/football/players/204039.png
39,42,237129,P. Sarr,Pape Matar,Sarr,22,2002-09-14,Thiaroye,Senegal,Senegal,185 cm,70 kg,false,https://media.api-sports.io/football/players/237129.png
39,42,273757,A. Devine,Alfie Sean,Devine,20,2004-08-01,,England,England,179 cm,75 kg,false,https://media.api-sports.io/football/players/273757.png
39,42,301281,A. Phillips,Ashley,Famiwuya Phillips,19,2005-06-26,Salford,England,England,192 cm,,false,https://media.api-sports.io/football/players/301281.png
39,42,311817,A. Dorrington,Alfie Terry Charlie,Dorrington,19,2005-04-20,,England,England,,,false,https://media.api-sports.io/football/players/311817.png
40,42,295,A. Lallana,Adam David,Lallana,36,1988-05-10,St Albans,England,England,172 cm,73 kg,false,https://media.api-sports.io/football/players/295.png
40,42,15812,P. Onuachu,Ebere Paul,Onuachu,30,1994-05-28,Owerri,Nigeria,Nigeria,201 cm,98 kg,false,https://media.api-sports.io/football/players/15812.png
40,42,18918,C. Taylor,Charles James,Taylor,31,1993-09-18,York,England,England,176 cm,70 kg,false,https://media.api-sports.io/football/players/18918.png
40,42,18932,F. Forster,Fraser Gerard,Forster,36,1988-03-17,Hexham,England,England,201 cm,93 kg,false,https://media.api-sports.io/football/players/18932.png
40,42,19248,N. Wood-Gordon,Nathan Dean Joshua,Wood-Gordon,22,2002-05-31,Middlesbrough,England,England,188 cm,,false,https://media.api-sports.io/football/players/19248.png
40,42,19484,A. Armstrong,Adam James,Armstrong,27,1997-02-10,West Denton,England,England,172 cm,69 kg,false,https://media.api-sports.io/football/players/19484.png
40,42,19524,C. Adams,Ché Zach Everton Fred,Adams,28,1996-07-13,Leicester,England,Scotland,175 cm,70 kg,false,https://media.api-sports.io/football/players/19524.png
40,42,19587,R. Manning,Ryan Phelim,Manning,28,1996-06-14,Galway,Republic of Ireland,Republic of Ireland,173 cm,,false,https://media.api-sports.io/football/players/19587.png
40,42,19825,J. Aribo,Joseph Oluwaseyi Temitope,Ayodele-Aribo,28,1996-07-21,London,England,Nigeria,183 cm,76 kg,false,https://media.api-sports.io/football/players/19825.png
40,42,31354,G. Vicario,Guglielmo,Vicario,28,1996-10-07,Udine,Italy,Italy,194 cm,83 kg,false,https://media.api-sports.io/football/players/31354.png
40,42,45078,R. Stewart,Ross Cameron,Stewart,28,1996-07-11,Irvine,Scotland,Scotland,188 cm,85 kg,false,https://media.api-sports.io/football/players/45078.png
40,42,130421,W. Smallbone,William Anthony Patrick,Smallbone,24,2000-02-21,Basingstoke,England,Republic of Ireland,183 cm,,false,https://media.api-sports.io/football/players/130421.png
40,42,190686,S. Mara,Sékou,Mara,22,2002-07-30,Paris,France,France,184 cm,,false,https://media.api-sports.io/football/players/190686.png
40,42,195993,C. Alcaraz,Carlos Jonás,Alcaraz Durán,22,2002-11-30,La Plata,Argentina,Argentina,176 cm,68 kg,false,https://media.api-sports.io/football/players/195993.png
40,42,199837,K. Sulemana,Kamaldeen,Sulemana,22,2002-02-15,Techiman,Ghana,Ghana,175 cm,70 kg,false,https://media.api-sports.io/football/players/199837.png
40,42,278085,S. Edozie,Samuel Ikechukwu,Edozie,21,2003-01-28,London,England,England,181 cm,,false,https://media.api-sports.io/football/players/278085.png
40,42,284356,S. Charles,Shea Emmanuel,Charles,21,2003-11-05,Manchester,England,Northern Ireland,189 cm,,false,https://media.api-sports.io/football/players/284356.png
40,42,304317,T. Dibling,Tyler-Jay Robert,Dibling,18,2006-02-17,,England,England,178 cm,,false,https://media.api-sports.io/football/players/304317.png
40,42,334035,S. Amo-Ameyaw,Samuel Christian Osaze,Amo-Ameyaw,18,2006-07-18,,England,England,174 cm,,false,https://media.api-sports.io/football/players/334035.png
40,42,350625,J. Meghoma,Jayden Ade Trindade,Meghoma,18,2006-06-28,,England,England,175 cm,80 kg,false,https://media.api-sports.io/football/players/350625.png
41,42,80,E. Dennis,Emmanuel Bonaventure,Dennis,27,1997-11-15,Abuja,Nigeria,Nigeria,175 cm,67 kg,false,https://media.api-sports.io/football/players/80.png
41,42,171,K. Walker-Peters,Kyle Leonardus,Walker-Peters,27,1997-04-13,London,England,England,173 cm,62 kg,false,https://media.api-sports.io/football/players/171.png
